title,certificate,runtime,genre,rating,director,gross_earn
Zulu,PG,138 min,"Drama, History, War",7.7,Cy Endfield,
Confessions,15,106 min,"Drama, Thriller",7.7,Tetsuya Nakashima,
The Vanishing,12,107 min,"Mystery, Thriller",7.7,George Sluizer,
The Quiet Man,U,129 min,"Comedy, Drama, Romance",7.7,John Ford,$10.55M
Evil,15,113 min,Drama,7.7,Mikael Håfström,$0.02M
Love and Death,A,85 min,"Comedy, War",7.7,Woody Allen,
Kai po che!,12A,130 min,"Drama, Sport",7.7,Abhishek Kapoor,$1.12M
The Postman,U,108 min,"Biography, Comedy, Drama",7.7,Michael Radford,$21.85M
Hedwig and the Angry Inch,15,95 min,"Comedy, Drama, Music",7.7,John Cameron Mitchell,$3.03M
After the Wedding,15,120 min,Drama,7.7,Susanne Bier,$0.41M
A Man for All Seasons,U,120 min,"Biography, Drama, History",7.7,Fred Zinnemann,$28.35M
The Edge of Heaven,18,122 min,Drama,7.7,Fatih Akin,$0.74M
Wait Until Dark,X,108 min,Thriller,7.7,Terence Young,$17.55M
Hana-Bi,18,103 min,"Crime, Drama, Romance",7.7,Takeshi Kitano,$0.23M
Joyeux Noel,12A,116 min,"Drama, History, Music",7.7,Christian Carion,$1.05M
Cape Fear,X,106 min,"Drama, Thriller",7.7,J. Lee Thompson,
Scarface,A,93 min,"Action, Crime, Drama",7.7,Howard Hawks,
The Caine Mutiny,U,124 min,"Drama, War",7.7,Edward Dmytryk,$21.75M
The Magdalene Sisters,15,114 min,Drama,7.7,Peter Mullan,$4.89M
Dreams,PG,119 min,"Drama, Fantasy",7.7,Akira Kurosawa,$1.96M
Nashville,AA,160 min,"Comedy, Drama, Music",7.7,Robert Altman,$14.82M
1900,X,317 min,"Drama, History",7.7,Bernardo Bertolucci,
Breaking Away,A,101 min,"Comedy, Drama, Sport",7.7,Peter Yates,$16.42M
My Darling Clementine,A,97 min,"Drama, Romance, Western",7.7,John Ford,
Mutiny on the Bounty,A,132 min,"Adventure, Biography, Drama",7.7,Frank Lloyd,
In July,99 min,"Adventure, Comedy, Romance",,7.7,Fatih Akin,
Dear Frankie,15,105 min,"Drama, Romance",7.7,Shona Auerbach,$1.34M
300,15,117 min,"Action, Drama",7.6,Zack Snyder,$210.61M
Star Wars: Episode III - Revenge of the Sith,12A,140 min,"Action, Adventure, Fantasy",7.6,George Lucas,$380.26M
Harry Potter and the Philosopher's Stone,PG,152 min,"Adventure, Family, Fantasy",7.6,Chris Columbus,$317.58M
Sherlock Holmes,12A,128 min,"Action, Adventure, Mystery",7.6,Guy Ritchie,$209.03M
American Psycho,18,102 min,"Crime, Drama, Horror",7.6,Mary Harron,$15.07M
Superbad,15,113 min,Comedy,7.6,Greg Mottola,$121.46M
Zombieland,15,88 min,"Action, Comedy, Horror",7.6,Ruben Fleischer,$75.59M
Kick-Ass,15,117 min,"Action, Comedy, Crime",7.6,Matthew Vaughn,$48.07M
Watchmen,18,162 min,"Action, Drama, Mystery",7.6,Zack Snyder,$107.51M
Despicable Me,U,95 min,"Animation, Adventure, Comedy",7.6,Pierre Coffin,$251.51M
Harry Potter and the Half-Blood Prince,12A,153 min,"Action, Adventure, Family",7.6,David Yates,$301.96M
Rise of the Planet of the Apes,12A,105 min,"Action, Drama, Sci-Fi",7.6,Rupert Wyatt,$176.76M
